course_code,course_title,course_teacher,link,fas_code,unique_code
EXPOS 40,Public Speaking Practicum 002,Coburn-Palo,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=d93942a14d9570ead6d992def395526ad9fa6dfa68eb8461797f20b4e6602c5ca84755ec10f08fe48472ddef0e6fc507&ReportType=2&regl=en-US,FAS-125227-2252-1-1-002,FAS-125227-2252-1-1-002(Coburn-Palo)
EXPOS 40,Public Speaking Practicum 003,Gipson,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=093eaee042fbdb543337a7aea6fd295010c651443cca84a13314bfa678e1b92ff555ff446f8f1f448312bbce65e5d037&ReportType=2&regl=en-US,FAS-125227-2252-1-1-003,FAS-125227-2252-1-1-003(Gipson)
EXPOS 40,Public Speaking Practicum 004,Gipson,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=8689930b76c39bf3c3fb2f5680765798a7b274e382da4e9e89dfe08c72128c8ece748510c6faa68715467a0fe67cc91b&ReportType=2&regl=en-US,FAS-125227-2252-1-1-004,FAS-125227-2252-1-1-004(Gipson)
EXPOS 40,Public Speaking Practicum 005,Montano,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0181c63f8e2c02fc417f3b37bf6a61aaf563b38580fe4f97080f86f377ee0825d4ddad7e5dbdb222c4bfd919e475853f&ReportType=2&regl=en-US,FAS-125227-2252-1-1-005,FAS-125227-2252-1-1-005(Montano)
EXPOS 40,Public Speaking Practicum 006,Montano,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b228add27e44163a35757c51ac499c191da47eb2991466beb99b97912732f457af434f19b263477d251b35e071831065&ReportType=2&regl=en-US,FAS-125227-2252-1-1-006,FAS-125227-2252-1-1-006(Montano)
EXPOS 40,Public Speaking Practicum 007,Stuart,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=471757f7a996aa2e7f456e66390503d3d831f3be69d70a86ca6e64ca52a1602960a0eb89d88c0f1c3abbbdfc4ed7d138&ReportType=2&regl=en-US,FAS-125227-2252-1-1-007,FAS-125227-2252-1-1-007(Stuart)
EXPOS 40,Public Speaking Practicum 008,Stuart,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0b7fa1e2ee78b0855d2ba33c4e754174c8923641ca0a03511ca5c0acb2207fc9fa1528b889f2f2f818cce3f667b4b8fd&ReportType=2&regl=en-US,FAS-125227-2252-1-1-008,FAS-125227-2252-1-1-008(Stuart)
EXPOS 45,Building a Resilient Community: Dialogue and Deliberation for Civil Discourse 001,Clarke,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e7bff00f6d154d01815bfe2150e9eaa6561ce89b18aaeac60fb438e21a125d13b80a7b0c8a4024f7417dbe0723986a71&ReportType=2&regl=en-US,FAS-224607-2252-1-1-001,FAS-224607-2252-1-1-001(Clarke)
EXPOS 45,Building a Resilient Community: Dialogue and Deliberation for Civil Discourse 002,Bailey,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=273bf654d146a9dbea3f51f8fa2a94e63ce982efdf6043a36522801ec13dfc7b7c500a9252350c47cacf57e2efdefcb2&ReportType=2&regl=en-US,FAS-224607-2252-1-1-002,FAS-224607-2252-1-1-002(Bailey)
FYSEMR 22T,Why We Animals Sing 001,Farrell,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=1733db0a750dab6bcb851e41973b51f34018b618feab6f96e56da68481ea8084c27e1f080b3ea704c57694d1c3c79cb8&ReportType=2&regl=en-US,FAS-108564-2252-1-1-001,FAS-108564-2252-1-1-001(Farrell)
FYSEMR 23H,Medicine in Nazi Germany and the Holocaust—Anatomy as Example for Changes in Medical Science 001,Hildebrandt,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=de5a45656335ed5a1508877eb667cb34c0b7904a4414898affe1052c797fc770641a36bd243e7b87ffd83e449c18c6eb&ReportType=2&regl=en-US,FAS-160215-2252-1-1-001,FAS-160215-2252-1-1-001(Hildebrandt)
FYSEMR 23K,Insights from Narratives of Illness 001,Groopman,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=85e8cee4f638093ce351d1e623e3029c34c04740606494efbcb2ac47c30e489146960b547a2ecf0768a4d146a93ba02e&ReportType=2&regl=en-US,FAS-117969-2252-1-1-001,FAS-117969-2252-1-1-001(Groopman)
FYSEMR 23R,Asteroids and Comets 001,Alcock,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=9d040bbd658cbcfddf3ac98bbc12e2fd6d300f97daf2e8b575ce3fdf35060a9ef03c28943283875a8e1d1001932cf368&ReportType=2&regl=en-US,FAS-161261-2252-1-1-001,FAS-161261-2252-1-1-001(Alcock)
FYSEMR 24U,“How Did I Get Here?”—Appreciating “Normal” Child Development 001,Prager,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=065bf80dfc39816b16a137ecea17efa929e56e2e44873859ff2fa688e4e9dd4631b814a1188aa870d3751aa05dfcc653&ReportType=2&regl=en-US,FAS-128122-2252-1-1-001,FAS-128122-2252-1-1-001(Prager)
FYSEMR 26O,Changing Our Mind: Evolving Thoughts on Brain Regeneration 001,Arlotta,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a1ccb74830191df510d4d671a027f11ca8f8e90c065814efb3cda4abde7be53472f214fb4a7c2e1144305d1a8b037295&ReportType=2&regl=en-US,FAS-224720-2252-1-1-001,FAS-224720-2252-1-1-001(Arlotta)
FYSEMR 33C,"Borges, García Márquez, Bolaño and Other Classics of Modern Latin American Fiction and Poetry 001",Siskind,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=84de4ffb8451a6303bf268d020407fb157bc2baee9d616a4107a0737bcb0646cffe7fb44db2be8b962ea93cd95517806&ReportType=2&regl=en-US,FAS-159836-2252-1-1-001,FAS-159836-2252-1-1-001(Siskind)
FYSEMR 42C,The Role of Government 001,Hart,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=c85356702eb7b7df80a8833f109236b135c1cbc882a5e721f328a26efbf5dfc8755c4fca38b3b15961bd8b61d17c451c&ReportType=2&regl=en-US,FAS-160196-2252-1-1-001,FAS-160196-2252-1-1-001(Hart)
FYSEMR 50D,Where are you from? Ancestry in the Age of Genomics 001,Haig,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=94f588188360e0ac8a5eb72837117d49fbba4d6d71f7fdda183eff0da003d46af011e15d6985f477c1ddfdfcfab0b11e&ReportType=2&regl=en-US,FAS-224574-2252-1-1-001,FAS-224574-2252-1-1-001(Haig)
FYSEMR 51N,The Secrets of Stradivarius or What Makes the Violin Sound Beautiful? 001,Cluzel,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=37a5a216a2a014af1f2af927e3191760b5fb017abaed313f530ce77945745e2e5fb39cb70a1a7ee038a5977b3b218701&ReportType=2&regl=en-US,FAS-224624-2252-1-1-001,FAS-224624-2252-1-1-001(Cluzel)
